# {{@@ env['dotdrop_warning'] @@}}
Abend%βράδυ, βραδιά
achtzehn%δεκαοκτώ
achtzig%ογδόντα
adieu, auf Wiedersehen, lebe wohl%γειάσας
Adresse%σύσταση
Afrika%Αφρική
albern, dumm%σαχλός
allenthalben, allerorten, überall%πανταχού, παντού
Amerikaner%Αμερικανός
an, bei, neben%δίπλα
Angelegenheit, Ding, Sache, Werk%πράγμα
Angst%φοβία
Apfel%μήλο
Apotheke%φαρμακείο
April%Απρίλης
arg, bedeutend, bedeutsam, beträchtlich, erheblich, ernst, wichtig%έγκυος
Arm; Hand%χέρι
Arm%μπράτσο
Aroma, Duft%άρομα
aus, aus ... heraus%εκ
Ausländer%αλλοδαπός
Äußerung, Gesinnung, Meinung%γνώμη
Baby%βρέφος, νήπιο, μπέμπης, μωρό
Bäcker%φούρναρης, ψωμάς
Badeanzug%μαγιό
Bad%μπανιέρα
Bankanweisung, Scheck%τσέκ
Base, Kusine%ξαδέρφη
Basis, Grundlage%βασίζω
Baum%δένδρο
beide%αμφότεροι
beinahe, fast, nahezu, schier, ungefähr%παρά λίγο
Belgien%Βέλγιο
Belgier%Βέλγος
belgisch%βελγικός
Belohnung, Lohn%αμοιβή
Bett%κρεββάτι
Beutel, Sack; Behälter, Besteck, Krug%σάκος, σακί
Beutel, Sack%ταγάρι
Bier%ζύθος, μπίρα
Bild, Gemälde%ζωγραφική, ζωγραφιά
billig%φτηνός
Blatt%φύλλο
blond%ξανθός
Boden, Grund%πάτος
Bombe%μπόμπα, βόμβα
Briefmarke%γραμματόσημο
Briefträger%ταχυδρόμος
Brot%ψωμί, άρτος
Brücke%γέφηρα
Bruder%αδελφός
Buch%βιβλίο
Centimeter, Zentimeter%εκατοστόμετρο
Chauffeur, Fahrer%σωφέρ
China%Κίνα
Chinese%Κινέζος
chinesisch%κινέζικος
Cousin, Vetter%εξάδελφος, ξάδερφος
dänisch%δανικός
Datum%ημερομηνία
Demokratie; Freistaat, Republik%δημοκρατία
Deutscher%Γερμανικός
Deutschland%Γερμανία
Dieb%κλέπτης, κλέφτης
dreizehn%δεκατρία, δεκατρείς
durstig%διψασμένος
Durst%δίψα
ein wenig, etwas, ziemlich, ein bisschen%λίγος, λιγάκι, λίγο
Elektrizität%ηλεκτρισμός, ηλεκτρικό
englisch%αγγλικός, εγγλέζικος
Enkel%εγγονός
entsetzlich, furchtbar, schrecklich, grässlich%τρομερός
Erdapfel, Kartoffel%πατάτα
erhaben, hoch%πυρετός
Esel%γάιδαρος
Etage, Geschoss, Stock, Stockwerk%όροφος
Fahrgast, Passagier%επιβάτης
Familienname, Nachname%επώνυμο
Familie%φαμίλια
Februar%Φλεβάρης, Φεβρουάριος
Fieber%θέρμη
flach%αβαθής
Flugzeug, Flugmaschine%αεροπλάνο
Forst, Wald%δάσος
Franzose%Γάλλος
französisch%γαλλικός
